nomem_encr,social_media_frequency,age,marital_status,living_arrangement,emotional_stability,intellect_imagination,self_esteem,Self-Rated_Health,Health_Hindrance_to_Daily_Functioning,Sleeping_Problems,Personal_Net_Income_Category,Employment_status,hours_on_social_media
804489,5.0,68.0,1.0,3.0,4.6,3.5,6.6,3,1.0,0.0,14.0,9,2.0
804522,5.0,38.0,1.0,3.0,4.6,3.6,6.3,4,1.0,0.0,7.0,1,1.0
804556,6.0,49.0,1.0,3.0,4.6,4.3,5.4,2,3.0,1.0,4.0,1,1.0
804617,7.0,62.0,5.0,1.0,2.7,4.1,4.9,3,1.0,1.0,4.0,1,5.0
804655,6.0,66.0,3.0,1.0,3.6,3.4,5.5,3,3.0,0.0,4.0,9,15.0
804916,5.0,65.0,1.0,2.0,3.7,3.0,5.7,4,1.0,1.0,5.0,1,3.0
804968,2.0,63.0,1.0,2.0,4.3,4.1,6.9,4,1.0,0.0,0.0,8,3.0
805007,4.0,68.0,1.0,2.0,4.0,3.6,6.3,4,1.0,0.0,6.0,9,1.0
805099,5.0,57.0,1.0,2.0,3.6,3.8,6.0,3,2.0,0.0,14.0,1,1.0
805181,6.0,54.0,3.0,4.0,4.4,4.0,6.8,5,1.0,0.0,3.0,1,2.0
805300,1.0,70.0,3.0,1.0,4.8,3.6,6.7,5,1.0,0.0,4.0,9,0.0
805319,7.0,58.0,1.0,3.0,3.0,3.6,6.0,3,2.0,0.0,5.0,1,17.0
805502,7.0,52.0,1.0,3.0,4.2,3.0,5.8,3,1.0,0.0,5.0,1,21.0
805569,6.0,51.0,3.0,2.0,2.6,3.6,5.0,2,1.0,0.0,3.0,1,2.0
805572,7.0,67.0,5.0,1.0,2.9,2.9,4.3,3,1.0,1.0,6.0,9,0.0
805752,7.0,35.0,1.0,3.0,3.7,3.9,6.4,4,1.0,0.0,5.0,1,3.0
805761,5.0,62.0,5.0,2.0,3.5,3.6,6.0,2,3.0,1.0,5.0,4,3.0
805848,3.0,62.0,1.0,2.0,4.3,2.4,4.2,3,1.0,0.0,6.0,1,1.0
805908,6.0,49.0,5.0,3.0,2.7,3.0,4.0,3,3.0,0.0,4.0,1,3.0
806079,7.0,57.0,1.0,2.0,3.3,3.5,6.0,3,1.0,1.0,6.0,1,12.0
806155,7.0,57.0,1.0,2.0,4.4,4.5,6.9,3,1.0,0.0,8.0,1,11.0
806198,6.0,41.0,5.0,3.0,3.0,3.0,4.0,3,3.0,0.0,5.0,1,22.0
806256,6.0,61.0,1.0,2.0,3.9,3.7,6.2,3,1.0,0.0,7.0,1,3.0
806655,6.0,49.0,1.0,2.0,3.4,3.4,5.4,3,1.0,0.0,7.0,1,4.0
806814,5.0,69.0,1.0,2.0,3.3,3.5,3.7,3,2.0,0.0,2.0,9,10.0
806939,7.0,52.0,2.0,2.0,2.1,3.1,4.5,2,4.0,1.0,0.0,10,30.0
807165,1.0,56.0,5.0,1.0,3.2,2.7,4.6,3,1.0,0.0,3.0,1,0.0
807186,6.0,59.0,1.0,3.0,4.1,3.2,6.8,5,1.0,0.0,14.0,1,0.0
807229,7.0,19.0,5.0,3.0,2.6,2.8,4.3,3,2.0,0.0,0.0,7,49.0
807403,1.0,68.0,4.0,5.0,4.9,3.9,6.7,4,1.0,0.0,4.0,9,0.0
807413,5.0,42.0,1.0,2.0,3.2,4.1,5.7,3,1.0,0.0,4.0,3,3.0
807596,7.0,52.0,1.0,3.0,3.3,3.7,5.8,3,3.0,1.0,5.0,1,3.0
807598,6.0,50.0,1.0,3.0,3.2,3.3,5.0,4,1.0,0.0,1.0,3,2.0
807623,1.0,52.0,1.0,3.0,2.9,3.0,5.4,3,2.0,0.0,2.0,8,7.0
807746,6.0,65.0,1.0,2.0,2.4,2.9,4.3,3,1.0,0.0,2.0,9,30.0
807977,4.0,63.0,1.0,2.0,4.5,3.8,6.4,2,4.0,0.0,4.0,1,2.0
808025,5.0,70.0,3.0,1.0,4.4,3.3,6.0,3,2.0,0.0,7.0,9,2.0
808035,6.0,67.0,1.0,2.0,2.2,3.1,5.6,2,3.0,1.0,2.0,9,1.0
808221,5.0,65.0,1.0,2.0,3.9,3.4,5.9,4,1.0,0.0,0.0,8,7.0
808236,7.0,66.0,1.0,2.0,3.5,4.5,5.8,3,1.0,0.0,5.0,9,3.0
808285,6.0,62.0,1.0,2.0,2.1,3.2,3.3,2,3.0,1.0,5.0,10,11.0
808438,4.0,52.0,3.0,4.0,3.9,3.7,6.8,3,1.0,0.0,5.0,1,0.0
808695,4.0,30.0,5.0,2.0,4.0,3.1,5.5,4,1.0,0.0,6.0,1,7.0
808801,7.0,69.0,1.0,2.0,3.8,3.8,5.5,3,2.0,0.0,3.0,9,6.0
808926,6.0,33.0,5.0,3.0,2.7,2.9,4.1,3,2.0,0.0,14.0,3,3.0
808944,5.0,58.0,1.0,2.0,2.6,2.8,3.9,3,1.0,0.0,14.0,8,1.0
808960,5.0,40.0,1.0,3.0,3.8,3.9,5.4,3,1.0,0.0,7.0,1,3.0
808998,1.0,44.0,1.0,3.0,4.7,3.0,7.0,3,1.0,0.0,4.0,1,0.0
809170,5.0,55.0,1.0,3.0,4.1,3.7,5.2,3,2.0,0.0,14.0,1,0.0
809292,6.0,64.0,1.0,2.0,4.3,3.1,6.2,3,1.0,1.0,4.0,1,3.0
809353,5.0,42.0,5.0,1.0,3.2,3.0,3.9,3,4.0,0.0,14.0,1,9.0
809375,5.0,52.0,1.0,2.0,4.7,3.9,6.3,4,1.0,0.0,10.0,1,1.0
809509,7.0,32.0,5.0,1.0,2.2,3.9,1.5,1,4.0,1.0,3.0,10,9.0
809875,7.0,52.0,3.0,1.0,4.2,3.7,6.3,2,4.0,0.0,7.0,1,2.0
810058,7.0,43.0,1.0,3.0,3.7,3.5,6.7,3,2.0,0.0,3.0,1,24.0
810086,5.0,65.0,3.0,1.0,3.4,4.6,6.3,3,1.0,0.0,4.0,9,6.0
810159,7.0,30.0,5.0,3.0,3.5,3.8,4.7,4,1.0,0.0,4.0,1,74.0
810177,7.0,25.0,5.0,3.0,3.8,3.5,7.0,4,1.0,0.0,4.0,1,11.0
810180,6.0,20.0,5.0,3.0,1.9,4.7,2.3,1,4.0,1.0,2.0,7,18.0
810265,1.0,30.0,1.0,2.0,3.0,3.2,4.1,3,3.0,1.0,7.0,1,3.0
810267,2.0,59.0,4.0,1.0,4.3,4.3,5.8,3,3.0,1.0,7.0,9,2.0
810287,5.0,48.0,1.0,3.0,4.0,3.9,6.4,3,1.0,0.0,2.0,1,4.0
810406,2.0,36.0,1.0,2.0,3.5,4.2,6.0,3,1.0,0.0,9.0,1,2.0
810584,1.0,66.0,1.0,2.0,4.0,4.4,6.7,4,1.0,0.0,7.0,1,4.0
810598,2.0,56.0,1.0,1.0,3.1,2.7,4.8,3,2.0,0.0,2.0,3,8.0
811093,5.0,51.0,5.0,2.0,3.8,3.4,5.7,3,1.0,0.0,4.0,2,8.0
811160,7.0,23.0,5.0,4.0,4.6,2.9,5.5,4,2.0,0.0,4.0,1,18.0
811212,7.0,54.0,1.0,3.0,3.0,3.7,5.4,3,1.0,0.0,6.0,3,17.0
811261,5.0,60.0,1.0,2.0,4.6,3.6,7.0,2,2.0,0.0,5.0,1,0.0
811291,7.0,49.0,1.0,3.0,1.5,3.0,4.0,3,1.0,0.0,2.0,1,32.0
811608,6.0,64.0,1.0,2.0,4.2,3.7,6.4,3,3.0,0.0,7.0,1,3.0
811611,7.0,62.0,1.0,3.0,3.1,2.9,5.3,3,1.0,1.0,6.0,1,10.0
811724,6.0,47.0,1.0,3.0,3.8,3.6,5.3,3,1.0,0.0,2.0,8,1.0
811749,6.0,36.0,1.0,2.0,4.1,4.0,6.1,5,1.0,0.0,6.0,1,3.0
811871,1.0,37.0,1.0,3.0,4.0,2.0,5.4,3,1.0,0.0,5.0,1,1.0
812008,5.0,52.0,1.0,3.0,3.5,2.5,5.1,4,1.0,0.0,0.0,8,3.0
812063,5.0,55.0,5.0,2.0,4.4,2.8,6.7,3,3.0,0.0,10.0,1,1.0
812130,6.0,25.0,5.0,1.0,2.9,3.2,4.4,1,3.0,1.0,3.0,10,10.0
812170,6.0,32.0,5.0,2.0,4.3,4.2,6.6,4,1.0,0.0,6.0,1,9.0
812173,5.0,57.0,3.0,2.0,3.8,3.8,6.7,3,2.0,0.0,2.0,13,5.0
812182,,39.0,1.0,3.0,2.9,3.1,3.8,3,3.0,0.0,14.0,1,0.0
812301,4.0,59.0,3.0,1.0,3.8,3.2,6.7,3,1.0,1.0,5.0,1,3.0
812622,6.0,40.0,1.0,2.0,3.7,2.9,5.6,3,1.0,0.0,7.0,1,9.0
812661,3.0,58.0,5.0,4.0,3.9,4.1,5.5,4,1.0,1.0,4.0,1,6.0
812734,5.0,69.0,1.0,2.0,4.6,4.0,6.4,3,1.0,0.0,7.0,9,2.0
812786,1.0,55.0,1.0,3.0,2.0,4.2,2.8,2,1.0,1.0,5.0,10,0.0
812863,5.0,69.0,1.0,2.0,3.3,3.4,6.7,3,1.0,0.0,3.0,9,4.0
812896,1.0,70.0,1.0,2.0,2.5,3.0,5.9,2,3.0,1.0,2.0,9,2.0
813110,1.0,69.0,1.0,2.0,3.7,2.6,6.4,4,1.0,0.0,4.0,9,3.0
813277,6.0,50.0,1.0,3.0,3.5,3.2,5.2,3,1.0,0.0,7.0,1,3.0
813397,5.0,40.0,1.0,3.0,3.5,3.8,6.9,3,3.0,0.0,6.0,1,4.0
813485,6.0,68.0,1.0,2.0,4.2,3.1,6.0,2,2.0,0.0,2.0,2,4.0
813565,5.0,62.0,1.0,2.0,3.5,3.0,5.6,3,1.0,0.0,3.0,8,5.0
813583,6.0,53.0,5.0,2.0,4.4,3.7,6.9,4,1.0,0.0,13.0,1,3.0
813729,5.0,56.0,5.0,2.0,3.5,3.0,4.7,3,2.0,0.0,3.0,10,4.0
813806,5.0,59.0,5.0,5.0,2.8,3.5,6.0,3,3.0,1.0,6.0,1,1.0
813858,4.0,20.0,5.0,3.0,4.0,2.6,5.9,3,1.0,0.0,0.0,7,5.0
814001,1.0,63.0,1.0,2.0,4.0,2.8,5.5,3,1.0,0.0,6.0,9,0.0
814010,6.0,60.0,5.0,3.0,3.9,3.2,6.9,3,1.0,0.0,14.0,1,13.0
814364,1.0,67.0,3.0,5.0,3.0,3.0,4.0,3,1.0,0.0,3.0,9,0.0
814532,5.0,23.0,5.0,4.0,2.7,4.0,5.9,3,1.0,0.0,0.0,7,66.0
814645,6.0,63.0,1.0,2.0,3.1,3.8,6.6,3,1.0,1.0,4.0,1,7.0
814868,7.0,50.0,1.0,3.0,3.5,3.5,5.9,2,1.0,0.0,4.0,1,18.0
814947,6.0,57.0,1.0,3.0,4.4,3.5,6.9,4,1.0,0.0,6.0,1,1.0
814996,7.0,57.0,1.0,3.0,3.2,4.0,4.7,3,2.0,1.0,2.0,1,45.0
815173,7.0,42.0,1.0,3.0,3.7,4.0,7.0,4,1.0,0.0,9.0,1,8.0
815203,7.0,21.0,5.0,3.0,2.3,4.1,4.3,5,1.0,0.0,0.0,7,36.0
815222,1.0,59.0,1.0,3.0,2.3,3.4,1.5,3,1.0,1.0,0.0,8,1.0
815267,6.0,64.0,4.0,1.0,3.2,3.1,6.3,1,4.0,1.0,3.0,10,4.0
815481,5.0,35.0,1.0,3.0,3.1,3.1,4.0,3,3.0,0.0,8.0,1,13.0
815690,7.0,60.0,1.0,2.0,3.4,3.8,5.0,3,2.0,1.0,7.0,1,16.0
815804,6.0,68.0,1.0,2.0,3.8,3.8,6.0,3,1.0,0.0,4.0,9,4.0
815814,5.0,48.0,1.0,3.0,3.7,3.5,6.2,5,1.0,0.0,6.0,1,0.0
815834,6.0,31.0,5.0,3.0,4.6,3.3,6.8,3,1.0,0.0,5.0,1,7.0
815894,2.0,65.0,1.0,2.0,3.8,3.9,6.0,3,2.0,0.0,4.0,9,0.0
815985,6.0,30.0,1.0,1.0,2.6,3.7,5.0,5,1.0,0.0,11.0,1,6.0
816033,7.0,19.0,5.0,3.0,2.9,4.1,4.9,4,3.0,0.0,1.0,7,13.0
816052,7.0,63.0,1.0,2.0,4.1,3.8,6.2,3,3.0,0.0,9.0,1,0.0
816083,7.0,55.0,5.0,2.0,3.6,3.6,6.0,3,1.0,0.0,3.0,1,16.0
816094,,36.0,5.0,2.0,1.9,4.2,3.9,3,4.0,1.0,4.0,1,0.0
816143,1.0,62.0,1.0,2.0,3.9,3.1,6.6,3,1.0,0.0,5.0,1,0.0
816155,5.0,52.0,5.0,1.0,2.9,3.8,6.0,5,1.0,0.0,6.0,1,1.0
816256,1.0,70.0,1.0,2.0,3.6,3.9,5.6,3,1.0,0.0,5.0,9,1.0
816284,7.0,41.0,5.0,1.0,3.4,4.3,4.5,4,1.0,0.0,14.0,1,12.0
816336,6.0,20.0,5.0,1.0,4.1,4.2,7.0,4,2.0,0.0,1.0,7,10.0
816387,5.0,67.0,1.0,2.0,4.5,3.9,6.1,3,1.0,0.0,2.0,9,7.0
816470,5.0,68.0,1.0,2.0,4.6,3.3,6.7,2,3.0,0.0,6.0,9,1.0
816586,7.0,50.0,1.0,3.0,2.6,3.1,4.2,3,3.0,0.0,5.0,1,8.0
816592,5.0,49.0,3.0,1.0,3.3,3.2,4.2,3,3.0,1.0,3.0,11,13.0
816627,6.0,61.0,1.0,3.0,3.8,3.5,5.5,4,1.0,1.0,14.0,9,28.0
816751,6.0,63.0,1.0,2.0,4.8,4.2,7.0,5,1.0,0.0,5.0,1,1.0
816952,6.0,61.0,1.0,2.0,4.3,3.3,6.9,3,1.0,0.0,6.0,1,2.0
817004,6.0,53.0,1.0,3.0,3.7,3.3,5.0,3,1.0,0.0,4.0,1,8.0
817062,7.0,33.0,1.0,1.0,1.8,3.0,4.4,2,3.0,1.0,5.0,1,6.0
817065,7.0,67.0,3.0,4.0,3.9,3.8,6.9,2,3.0,1.0,3.0,8,23.0
817160,2.0,67.0,1.0,2.0,4.0,2.9,5.9,3,1.0,0.0,7.0,9,0.0
817297,7.0,61.0,1.0,3.0,4.3,2.8,6.4,3,1.0,0.0,4.0,1,7.0
817344,6.0,58.0,5.0,1.0,2.9,4.1,5.9,5,1.0,0.0,4.0,3,11.0
817373,1.0,51.0,1.0,2.0,4.2,3.3,5.8,3,1.0,0.0,5.0,1,1.0
817663,1.0,66.0,3.0,1.0,3.9,3.4,6.4,3,1.0,0.0,4.0,9,2.0
817800,6.0,33.0,1.0,3.0,2.1,3.6,3.9,2,1.0,0.0,0.0,8,16.0
817852,7.0,51.0,5.0,1.0,2.4,2.7,3.7,3,3.0,0.0,3.0,10,19.0
817880,6.0,64.0,1.0,3.0,3.7,2.8,4.7,3,2.0,0.0,5.0,1,0.0
817921,7.0,35.0,1.0,3.0,2.6,2.8,4.6,4,1.0,0.0,5.0,1,18.0
818048,7.0,47.0,1.0,3.0,3.3,4.2,6.4,3,1.0,0.0,3.0,1,1.0
818049,1.0,34.0,1.0,2.0,4.0,3.8,4.9,3,1.0,0.0,6.0,1,0.0
818087,7.0,54.0,1.0,3.0,4.1,3.2,5.3,4,1.0,0.0,2.0,12,7.0
818338,7.0,55.0,1.0,3.0,2.4,2.9,5.1,3,2.0,0.0,0.0,8,4.0
818353,1.0,46.0,1.0,3.0,3.9,3.0,6.0,4,1.0,0.0,5.0,1,0.0
818508,5.0,23.0,5.0,4.0,3.7,4.4,5.0,3,1.0,0.0,1.0,7,4.0
818771,5.0,53.0,1.0,2.0,4.4,3.9,7.0,3,1.0,0.0,8.0,1,11.0
818897,7.0,66.0,5.0,4.0,3.3,3.6,5.2,4,1.0,1.0,5.0,12,12.0
819016,6.0,21.0,5.0,4.0,3.7,3.8,5.6,3,1.0,0.0,0.0,7,5.0
819183,7.0,33.0,5.0,2.0,3.8,3.4,5.4,4,1.0,0.0,14.0,1,6.0
819226,1.0,61.0,1.0,2.0,2.5,3.5,3.8,2,3.0,0.0,4.0,10,0.0
819244,4.0,29.0,5.0,3.0,3.2,3.9,6.7,3,2.0,0.0,5.0,1,1.0
819274,6.0,63.0,3.0,1.0,3.6,3.0,5.5,3,1.0,0.0,6.0,1,16.0
819354,6.0,29.0,1.0,2.0,3.9,3.5,5.5,3,1.0,0.0,5.0,1,2.0
819570,6.0,36.0,1.0,3.0,3.9,3.2,5.7,4,1.0,0.0,4.0,1,1.0
819878,5.0,53.0,1.0,2.0,4.5,3.9,6.8,3,1.0,0.0,4.0,1,4.0
819937,6.0,39.0,1.0,3.0,2.6,3.1,4.9,3,3.0,0.0,5.0,1,2.0
820181,7.0,54.0,5.0,1.0,3.4,3.4,4.8,3,1.0,0.0,6.0,1,7.0
820407,7.0,25.0,5.0,3.0,2.6,3.2,3.6,3,1.0,0.0,13.0,1,10.0
820544,7.0,50.0,1.0,3.0,4.5,2.0,5.2,3,1.0,0.0,5.0,1,1.0
820773,5.0,46.0,1.0,3.0,3.2,3.0,4.1,2,3.0,0.0,2.0,3,3.0
821176,1.0,65.0,3.0,1.0,4.6,3.3,6.7,3,3.0,0.0,3.0,10,7.0
821209,5.0,51.0,3.0,4.0,2.9,3.2,4.3,3,1.0,0.0,2.0,1,4.0
821224,6.0,44.0,1.0,3.0,3.7,2.8,5.1,4,1.0,0.0,4.0,8,8.0
821508,1.0,32.0,1.0,2.0,4.7,4.6,6.7,5,1.0,0.0,5.0,1,5.0
821618,5.0,64.0,1.0,2.0,3.7,3.3,7.0,3,1.0,0.0,2.0,1,2.0
821673,5.0,49.0,1.0,3.0,4.0,3.1,5.3,4,1.0,0.0,4.0,1,1.0
821707,7.0,44.0,1.0,3.0,2.3,3.8,4.6,3,3.0,0.0,3.0,1,7.0
821784,5.0,62.0,1.0,2.0,4.8,3.3,6.4,4,1.0,1.0,6.0,1,0.0
821838,7.0,53.0,1.0,2.0,3.9,3.6,6.2,2,3.0,0.0,5.0,1,12.0
821948,1.0,61.0,1.0,2.0,3.6,3.7,5.4,2,3.0,1.0,3.0,9,10.0
822042,6.0,22.0,5.0,4.0,3.1,3.5,4.9,3,3.0,0.0,4.0,1,6.0
822341,6.0,68.0,1.0,2.0,4.8,3.8,7.0,3,1.0,0.0,5.0,9,2.0
822354,7.0,64.0,1.0,2.0,3.8,3.8,6.8,3,4.0,0.0,3.0,8,4.0
822387,5.0,64.0,1.0,2.0,3.0,3.4,4.6,3,2.0,0.0,0.0,8,15.0
822401,6.0,22.0,5.0,3.0,3.0,3.6,6.7,3,2.0,1.0,14.0,1,4.0
822424,6.0,70.0,1.0,2.0,3.7,3.4,5.8,3,2.0,0.0,7.0,9,8.0
822525,7.0,51.0,1.0,2.0,3.0,3.0,4.0,2,1.0,1.0,14.0,1,17.0
822634,1.0,67.0,1.0,2.0,4.4,4.7,6.6,3,3.0,0.0,2.0,9,0.0
822763,7.0,38.0,5.0,3.0,2.9,3.2,4.2,3,3.0,1.0,5.0,1,23.0
822772,6.0,52.0,5.0,1.0,3.4,4.0,5.9,4,1.0,0.0,9.0,1,12.0
822827,7.0,40.0,3.0,4.0,3.4,4.4,3.6,3,3.0,0.0,8.0,1,28.0
822851,6.0,60.0,1.0,3.0,4.5,2.3,5.7,4,1.0,1.0,3.0,10,5.0
822924,5.0,35.0,5.0,2.0,3.1,3.4,4.4,3,2.0,0.0,7.0,1,6.0
823037,7.0,33.0,1.0,2.0,2.6,3.1,4.4,4,2.0,0.0,6.0,1,11.0
823327,6.0,61.0,1.0,3.0,3.0,3.5,5.9,2,3.0,0.0,1.0,1,10.0
823342,2.0,66.0,1.0,3.0,2.0,3.8,4.3,2,4.0,1.0,0.0,8,1.0
823715,6.0,45.0,1.0,3.0,3.1,3.0,4.0,2,2.0,0.0,7.0,1,3.0
823931,1.0,56.0,5.0,5.0,3.2,3.8,3.8,3,3.0,1.0,2.0,12,7.0
824069,6.0,67.0,4.0,1.0,2.2,2.8,3.8,3,5.0,1.0,4.0,9,7.0
824090,6.0,70.0,1.0,3.0,3.8,3.1,6.3,2,3.0,0.0,1.0,8,0.0
824096,1.0,65.0,1.0,2.0,4.6,3.0,6.0,3,1.0,1.0,3.0,10,0.0
824293,6.0,29.0,5.0,2.0,3.6,3.7,6.8,4,1.0,0.0,5.0,1,34.0
824353,6.0,52.0,1.0,3.0,4.1,3.4,5.8,3,1.0,0.0,7.0,1,5.0
824438,6.0,54.0,1.0,2.0,3.8,3.1,5.4,3,2.0,0.0,4.0,1,2.0
824478,6.0,68.0,1.0,2.0,3.7,4.2,6.4,3,1.0,1.0,2.0,9,11.0
824484,2.0,65.0,1.0,2.0,3.3,3.2,4.0,3,1.0,0.0,8.0,1,0.0
824490,6.0,58.0,4.0,1.0,4.5,3.9,5.9,3,1.0,0.0,8.0,1,9.0
824597,6.0,56.0,1.0,3.0,3.8,3.0,5.2,3,1.0,0.0,13.0,3,2.0
824621,5.0,54.0,1.0,2.0,3.2,2.9,4.2,3,3.0,0.0,0.0,8,0.0
824682,2.0,65.0,1.0,3.0,3.7,3.8,6.5,3,2.0,0.0,2.0,10,5.0
824753,1.0,30.0,1.0,2.0,2.0,3.8,4.1,3,1.0,0.0,14.0,1,0.0
824789,5.0,61.0,1.0,2.0,4.0,2.9,5.7,3,1.0,0.0,6.0,3,4.0
824816,6.0,32.0,1.0,3.0,3.0,3.0,4.0,4,1.0,1.0,14.0,1,5.0
824841,7.0,48.0,1.0,2.0,2.7,3.2,3.8,2,5.0,1.0,2.0,10,12.0
825125,5.0,67.0,1.0,3.0,3.2,3.2,4.8,3,1.0,1.0,3.0,10,5.0
825186,5.0,57.0,1.0,3.0,4.4,2.5,5.5,5,1.0,0.0,0.0,8,13.0
825354,5.0,62.0,1.0,1.0,2.8,2.5,3.5,3,1.0,0.0,4.0,1,3.0
825381,2.0,42.0,1.0,3.0,3.2,3.6,6.5,3,1.0,0.0,7.0,1,1.0
825700,7.0,32.0,5.0,2.0,2.1,3.7,3.1,2,3.0,1.0,3.0,1,4.0
825903,6.0,68.0,1.0,2.0,3.6,3.3,5.8,3,2.0,0.0,7.0,9,1.0
825964,7.0,30.0,1.0,3.0,3.7,4.2,6.8,4,4.0,1.0,6.0,1,5.0
826077,6.0,53.0,5.0,3.0,4.2,3.2,5.5,3,1.0,0.0,4.0,1,3.0
826159,6.0,41.0,1.0,3.0,4.3,4.7,7.0,5,1.0,0.0,4.0,1,2.0
826294,4.0,50.0,1.0,2.0,4.0,3.6,6.0,4,1.0,0.0,7.0,1,4.0
826304,5.0,41.0,1.0,3.0,1.8,3.8,4.9,3,1.0,0.0,7.0,3,2.0
826309,5.0,61.0,5.0,1.0,3.7,3.9,6.5,4,1.0,0.0,6.0,1,0.0
826339,4.0,45.0,5.0,3.0,2.6,3.2,4.2,2,1.0,0.0,8.0,1,6.0
826345,6.0,49.0,5.0,3.0,2.2,3.9,5.5,2,2.0,1.0,5.0,1,7.0
826358,6.0,62.0,1.0,2.0,3.5,3.5,5.9,3,1.0,0.0,7.0,1,2.0
826391,6.0,64.0,1.0,2.0,3.6,4.1,6.1,3,1.0,0.0,0.0,8,1.0
826533,7.0,67.0,3.0,2.0,4.6,3.3,6.3,4,1.0,0.0,11.0,1,3.0
826593,5.0,63.0,1.0,3.0,3.5,3.3,6.6,3,3.0,0.0,5.0,1,9.0
827016,7.0,48.0,1.0,3.0,2.2,3.6,4.0,2,4.0,1.0,1.0,10,4.0
827069,6.0,21.0,5.0,3.0,3.8,2.5,5.8,4,2.0,0.0,4.0,1,5.0
827215,1.0,67.0,1.0,2.0,3.6,3.5,5.8,3,1.0,1.0,3.0,9,0.0
